Height,A0,B0,C0,D0,E0,F0,G0,H0,Result
500000,6,4,5,4,2,7,8,8,6
500001,5,4,9,5,9,1,4,9,1
500002,6,2,7,7,6,9,2,7,4
500003,6,1,9,1,8,5,2,2,2
500004,1,8,9,1,8,1,6,9,4
500005,4,4,2,8,5,7,9,1,6
500006,9,7,1,7,1,1,8,2,9
500007,6,8,7,6,5,8,9,7,8
500008,2,4,8,8,2,1,7,3,4
500009,4,6,5,1,5,3,4,9,2
500010,6,5,1,3,7,4,3,4,7
500011,3,6,9,2,7,1,2,7,7
500012,7,6,6,3,3,1,8,2,4
500013,8,6,6,4,2,8,5,7,9
500014,5,2,3,7,5,7,4,6,7
500015,9,5,4,7,3,8,3,5,9
500016,9,2,5,1,8,7,4,5,6
500017,4,4,4,2,5,6,4,8,6
500018,6,7,8,1,2,4,7,4,5
500019,2,8,2,4,5,8,7,6,6
500020,3,4,2,4,2,8,8,1,7
500021,1,7,3,6,8,7,7,7,4
500022,5,1,6,1,7,1,3,2,7
500023,4,6,6,7,6,8,3,7,1
500024,9,8,5,4,3,4,4,6,1
500025,9,1,8,3,8,5,6,3,7
500026,2,3,6,2,9,9,8,9,8
500027,8,1,8,2,3,7,2,4,3
500028,1,7,3,2,1,1,8,4,2
500029,7,4,1,4,8,8,7,4,4
500030,4,4,8,4,4,8,4,2,3
500031,6,7,4,2,6,7,8,8,2
500032,6,9,2,9,5,6,6,6,6
500033,7,9,5,5,4,7,8,4,5
500034,3,3,6,1,7,2,9,5,6
500035,9,6,5,8,4,6,8,1,7
500036,3,5,5,3,6,3,1,3,1
500037,3,1,7,5,8,8,6,4,2
500038,2,2,5,6,6,5,5,4,8
500039,4,9,8,1,4,6,3,8,1
500040,2,6,8,9,8,1,8,6,5
500041,1,9,2,2,7,5,6,3,7
500042,9,2,6,6,7,1,6,8,8
500043,2,8,3,1,7,6,6,2,4
500044,4,4,6,8,4,3,9,6,8
500045,3,5,4,3,3,8,8,8,2
500046,1,5,6,6,2,2,6,2,1
500047,5,3,6,8,7,3,6,1,2
500048,1,1,5,3,7,4,8,8,4
500049,8,2,6,9,7,4,4,9,4
500050,5,4,1,3,8,3,2,2,1
500051,2,5,5,9,5,4,1,9,6
500052,8,6,4,5,1,4,7,5,6
500053,9,5,6,6,9,1,7,3,8
500054,1,3,2,8,2,5,3,1,1
500055,6,3,4,3,8,7,1,4,5
500056,5,3,1,2,6,7,9,3,2
500057,1,1,7,7,4,2,6,9,4
500058,8,5,8,7,1,8,1,9,9
500059,4,3,4,9,1,9,7,1,3
500060,6,4,8,4,1,4,1,7,8
500061,5,1,3,3,5,9,9,6,3
500062,2,6,9,5,3,7,7,1,6
500063,1,1,2,6,4,2,8,2,7
500064,8,3,4,8,7,7,5,7,6
500065,3,5,9,9,1,1,1,9,2
500066,3,7,7,4,8,1,8,9,8
500067,2,3,3,8,8,3,3,8,9
500068,9,5,3,4,1,8,1,8,8
500069,3,9,8,6,1,3,9,8,1
500070,6,3,4,4,1,8,7,5,4
500071,5,3,7,5,7,1,9,2,1
500072,8,4,2,8,8,9,7,8,6
500073,5,9,3,5,5,8,7,7,9
500074,2,4,4,7,1,5,8,8,2
500075,3,5,9,9,3,7,2,3,3
500076,4,8,7,3,4,4,4,8,3
500077,8,1,9,8,7,9,7,2,2
500078,5,9,6,1,2,1,4,9,8
500079,1,3,8,1,5,6,7,2,7
500080,2,4,2,4,7,1,1,6,4
500081,7,3,3,6,3,5,1,9,5
500082,1,7,2,2,4,5,4,1,4
500083,4,4,5,3,1,4,9,4,3
500084,4,6,3,8,2,1,4,1,1
500085,8,6,9,9,3,8,2,6,5
500086,5,9,9,3,7,5,9,4,6
500087,4,9,3,5,7,4,1,6,4
500088,3,4,4,5,1,7,5,9,5
500089,5,1,4,4,9,1,5,9,9
500090,2,7,3,2,8,5,2,1,4
500091,5,7,6,4,6,1,9,4,4
500092,6,6,7,3,8,6,6,4,8
500093,2,8,9,3,1,4,7,6,3
500094,8,8,9,5,7,9,5,3,4
500095,3,6,1,5,3,3,9,1,7
500096,7,1,4,5,8,9,4,1,2
500097,4,1,6,1,9,6,3,8,5
500098,6,3,9,4,8,4,8,4,3
500099,8,1,1,4,3,3,4,6,5
500100,8,8,8,4,7,4,8,5,2
500101,8,7,9,9,4,2,3,3,6
500102,9,9,6,8,1,1,4,9,1
500103,5,5,2,5,5,4,9,6,6
500104,3,6,9,5,9,8,7,2,9
500105,1,8,8,9,5,8,8,3,1
500106,1,5,3,1,7,8,9,2,4
500107,7,4,8,3,5,5,3,1,5
500108,8,9,6,1,1,8,7,1,9
500109,3,8,3,3,7,3,1,7,7
500110,4,4,5,1,1,8,4,4,6
500111,3,6,1,6,7,3,4,8,3
500112,4,5,4,2,2,8,6,9,7
500113,9,7,7,7,9,8,9,8,4
500114,3,7,5,5,7,7,3,6,8
500115,5,1,1,9,3,4,8,6,4
500116,4,7,4,7,7,7,7,4,5
500117,3,4,8,6,4,3,5,8,7
500118,2,4,7,6,3,6,2,3,3
500119,5,3,8,2,2,5,3,7,1
500120,8,1,3,5,8,3,6,9,8
500121,6,2,9,1,6,5,4,9,4
500122,9,1,7,2,1,8,6,5,1
500123,1,8,8,4,8,8,3,5,6
500124,9,7,2,1,4,8,3,3,8
500125,3,5,4,9,9,6,4,3,9
500126,8,1,6,5,3,3,9,1,9
500127,3,8,2,9,3,5,3,7,8
500128,6,9,9,9,2,5,7,1,2
500129,2,1,2,7,2,7,7,7,3
500130,3,8,4,7,4,6,2,4,3
500131,4,3,2,6,4,7,3,9,9
500132,5,6,9,1,8,6,9,2,4
500133,5,8,3,6,8,6,1,6,8
500134,3,3,4,1,5,4,6,8,6
500135,7,7,8,8,9,7,7,7,3
500136,4,3,3,2,3,1,1,7,3
500137,2,9,1,7,6,2,9,7,7
500138,8,8,4,1,3,7,8,9,6
500139,4,4,8,7,6,5,8,4,5
500140,6,1,8,9,9,2,5,1,6
500141,2,2,1,4,5,8,5,2,9
500142,3,5,1,8,6,4,7,1,5
500143,3,5,9,3,8,3,9,5,5
500144,7,8,2,1,2,5,9,6,8
500145,4,4,5,5,6,6,8,6,9
500146,6,6,8,7,6,8,2,6,7
500147,8,9,1,6,5,4,6,4,5
500148,3,2,9,6,5,8,7,4,7
500149,5,2,9,8,8,3,6,9,7
500150,9,6,3,7,2,8,2,5,6
500151,3,6,8,1,9,1,8,5,1
500152,3,7,6,1,7,2,8,9,1
500153,2,2,5,3,7,7,6,5,4
500154,1,3,1,9,2,4,2,1,8
500155,9,8,8,8,6,4,5,7,3
