Height,A0,B0,C0,D0,E0,F0,G0,H0,result
500000,3978534966,4258134238,2989017509,414086215,1850599964,2092275133,2348995787,1358795618,1436154972
500001,2065443152,3211279384,726223581,3938010872,878214195,2069074882,3258424129,2970484371,1650994507
500002,3567368508,1867037591,1672931968,3395257351,2745816846,612118404,6395375,2937717610,3425559394
500003,1416986961,3039426136,399977235,1875171961,890740349,3893663750,2493648065,337182356,1448995097
500004,2126214982,385504514,1251422937,2888008390,383674967,3166427350,2005061028,619991919,560579467
500005,3178249663,4139212225,1110397376,3205358684,2286677471,3933931570,2265673239,1158796072,3281190378
500006,235497951,1793403925,2186509123,852210916,1555783543,1622465011,1283321483,1778392001,950002776
500007,2393213586,662708330,1786092721,497014548,1281494003,1813240250,27792828,3090846094,1109072591
500008,3924386327,258735694,1807649810,2861117216,2900464139,197548093,114114688,1124892390,1378082146
500009,159402397,935683611,2550291683,2137557304,2069608334,3111305421,3938016496,122119524,689826260
500010,2256286407,3371130428,3820940416,4192227921,31423714,1845928048,3628435269,1735295053,175580314
500011,2853868062,1739793894,1908045090,2649039194,3741882766,1384998328,1977159584,3911750764,612263707
500012,2261266045,3137381610,1825754028,1907611365,4208624112,2825869825,1973071988,3794882033,2183059417
500013,2134750904,1813265115,2393052432,1994552257,2771733782,2212822376,3159434129,492536014,425377368
500014,3259388966,2509012631,2269021233,812288419,352299623,2121701893,2937117217,2029141896,3408835660
500015,2686002840,541797287,207892867,2480051941,3209484486,3135742730,723522810,2244443072,1746614457
500016,1665696762,511945697,1760910107,149533813,3010834790,1207160809,265673182,1366320290,763862145
500017,929213869,3298402624,1743351241,2576415440,3724328462,3981053760,405183523,1236408722,1880205270
500018,3995372571,2696044399,2920728824,1127206450,3585191924,822097246,935678878,3389008576,3381867446
500019,3353689199,2847017006,1475044355,3331788871,1775678018,3856917491,1307990815,4003411335,2200332075
500020,1986731823,1793737588,1356123404,79240108,26336693,3425713820,2612818862,2640084157,697055200
500021,2389770865,376870228,577184970,1983554412,2594127410,3773042431,2268417922,2496658453,949275796
500022,1819134923,1225076464,1311292320,3064084399,3759908614,4171056337,2633365263,3132683192,3650141185
500023,3641306008,2486194413,897054765,3435900010,1962532356,713769857,2285163210,3015612799,3788909821
500024,2529920421,407023325,3696183338,3159117436,20646516,2775114292,3976638565,699239229,768571480
500025,888895881,2040439654,1522425536,2796229884,853596755,3116643611,945415194,2691489486,4028098291
500026,2546427431,1635194136,4039700316,1207294598,1366646193,3464856306,1093254200,2186781048,1208325455
500027,710979299,3305860984,3994927055,559668134,1131030984,2545768150,3571240115,2224461055,1824264471
500028,290178073,2678387740,2631638343,932975174,3489443029,1664941213,176602661,4269242596,677876078
500029,3232729528,1101008974,3019776688,964030864,1759430645,1017024929,4106884165,1512839236,1031851543
500030,2032314133,939851356,34394723,3255537091,1081956073,2965207913,1645961449,483137579,3546381270
500031,2813075520,4078524148,4268201809,3680696054,1159710666,1543794469,1054949084,4056080624,3035272772
500032,2717730276,1237890393,3134288225,3548581200,1338206927,2432937093,4095062034,1002173091,2248166661
500033,3143487292,830717955,424026302,3362851931,1421866516,3772682323,1485296936,3693468847,2842362194
500034,4143205398,4010349567,4003425843,4053517723,1268649007,3436146893,36544338,2028263513,2723899731
500035,2716418520,1497952329,2181715448,1454830991,746153590,1592631627,4264589249,900930394,2598967807
500036,2564571198,1310518688,3485155091,861335220,3989698080,3349213068,338982427,586329411,1556681176
500037,1961632416,1503338527,51326161,1887433754,3502440359,3634500743,659538168,1238224693,2274712760
500038,409925270,1324202195,841925075,3317541540,1575003498,3196557662,3125652224,3966927637,3244545116
500039,1615826425,1159728714,834127640,4233749878,1049091088,377582568,1849621413,3638783636,627391117
500040,845173460,1709207394,2883320333,1577383101,1993571513,1127792701,3307824845,2894569683,3847772399
500041,1552941847,1126655154,1542477089,3109364687,2002284682,2261682941,3181603992,1656093729,2184705628
500042,2841240906,1519406120,3259322430,3646638141,4111819522,131969512,3808227498,311293583,479920103
500043,3895151555,288633446,2253112518,233402707,734347519,2665407417,139878672,3237523904,1333399
500044,1180523290,3691918363,3807219354,3760016003,383885446,1825786128,3891649428,2587950024,3274315802
500045,2730859095,1796228888,2321325985,3937115559,3459851049,2916599021,3253804001,840524606,1038518084
500046,1664348113,3790215257,747038733,3886063575,272797058,541428158,3946211745,2281711358,1252610128
500047,3212760902,3582619572,1713340797,3106934774,2987921185,3774259263,4246305450,2230855228,1328950946
500048,3053462464,1103473315,3588233045,1048062774,2455132552,697058239,2010550391,3363639812,3992217691
500049,2807447885,2364262175,587615622,3222671940,2932820017,93108559,2336994256,2556816642,636260710
500050,2734296116,2044529509,3470477770,2414101872,402918092,3609229116,3780195248,831309968,2765619424
500051,2046182060,795919163,3298449965,2708462421,3835222835,3094149334,2774486350,2217775599,2738314617
500052,2528417627,3903930447,3541198459,3432299639,2548906372,1521476311,261927070,649201820,447218340
500053,3260567592,2258855933,1609675800,1053198006,70862463,136616428,948313222,4072220139,1737299015
500054,1447793776,190820973,3963775763,342710738,1212091238,3562220750,1494201135,454241935,1425098710
500055,602869578,261593607,2890979320,4051199442,1789616888,4253781715,3470841685,3775279792,1158102158
500056,1594620149,3265704039,2397738016,4137151349,1512214179,2206650184,1463183379,3479021310,473317229
500057,4068843805,2298283570,3207452893,1220195743,861355354,737315912,697706394,2340211176,2175503782
500058,1379880485,1126904990,2493995507,948345802,3873931534,1098010277,686804176,1915496487,388549215
500059,3368128936,1163150526,3448617727,3304582101,32776003,3213155745,2652136999,2380327903,897796641
500060,1431913974,4228797460,235263563,623948296,3544507108,2258504347,1414014076,772352287,1891668509
500061,1235915015,2179388908,3574915536,388961742,2109059762,1011133926,2450945790,4251843528,3506988
500062,334497512,3970455927,286349751,903397361,2325019422,2780531566,2649109993,2801793808,2438783709
500063,1274910274,889630129,2671097375,3006783753,2415058321,468256448,743307758,212287097,949342192
500064,75576464,1170670908,2515949140,1265500736,2878595980,2469796792,2734049372,2015073115,2922202671
500065,1124842746,3795189440,1425053835,1253451780,180831232,3464508862,3619985374,3888753687,2637227180
500066,4065308310,1915133461,3669840556,1172013763,1942201943,4003958638,1816710056,2897090928,954917783
500067,2034850421,1407392481,2562620061,667963286,559424888,833640843,4210488831,3179509082,140172714
500068,294250266,3887401010,1203013299,530220649,3441289726,1602272987,1682554582,4013540189,2403350927
500069,4165531770,208425141,3876648587,4209541845,1114956802,3422259426,4168266606,3830795144,1281686437
500070,596026617,1894155717,4080129394,3438916726,2776490011,1772322011,2727943270,2922275129,3982036054
500071,3798912101,3236345490,2427853615,3500328038,868635214,4120704091,3732637923,1341291377,233334352
500072,1839402710,2083272565,3915186599,2893067945,187519220,2140715538,1657476934,3024174968,115208232
500073,2121098873,2700495315,3733768119,4145750618,2620176116,1666228256,2462883514,2502366109,3507365367
500074,1222894523,3619090561,1685358247,1812798169,4180204945,1633774181,1770038693,2026552319,2134584776
500075,1054599996,3035691824,2440876761,1698320439,3821281284,458958814,2428822847,2212901634,3089280027
500076,4260803746,3136303691,935319706,3598802022,2828493751,2575235551,1678942588,1123927712,2907315489
500077,3500461520,820917838,3187396449,1982826809,3802651018,892919646,4029743599,1019778311,1017046325
500078,415306499,1890392463,1873503852,1385279263,2570399228,2468531611,3745865371,2852263224,2059388693
500079,2716001992,3946239507,479836475,4270442815,3515575118,2439669714,2144519494,656257421,1531432861
500080,3788899040,2021912581,1951821749,1091086816,277089694,3222946990,3821416291,2798515923,3941647951
500081,1110138073,2964590904,1836201765,275170281,2433668133,3564131720,194391946,1213456140,1466815388
500082,4120254667,596585572,4136672558,1734345785,3996919597,949449947,438177847,1855331560,3648294706
500083,749839873,3768786634,3169624460,3531745569,725172076,4226433601,2008501812,2005757590,3938104794
500084,2417690119,2790748293,2550658521,3983309909,625015379,379133425,1509883060,3592259299,3390662161
500085,784282958,3264315702,3633766128,595265607,1356760515,303183854,2940295268,3076090323,3134409206
500086,2441372243,1223014860,559020816,1235474382,3172099246,4276699736,3485000115,3857366137,4017664221
500087,2607317734,1342659645,1110528111,1305368789,3711426082,1132240135,3687820030,578795910,2307312877
500088,3614615139,781126051,3333719218,1492536857,2196977419,2869942129,2279065496,1262450565,1353192458
500089,3335816750,1681097842,2156316151,2711051599,1426986261,2263558618,150437723,857862162,517839606
500090,4247487362,330783496,3108266067,2273004632,1191489155,978460268,1467410123,3477294190,261350275
500091,4194948641,1084024204,3925229370,63262309,139192908,3182856013,3628354599,4059194566,1410989719
500092,3774936759,1935511800,2522358664,4128572055,1249430957,103969446,72554811,261188248,2028777092
500093,147540872,2321245682,2060587971,3531197946,4061600461,1025746681,2382838936,2272155558,3739730574
500094,3395710808,1467714644,3582686691,2846693300,3306648769,2854961595,2691743324,3456948189,1015839940
500095,1549295328,3392140875,1888592842,4244599589,1463860551,4036276524,1898724708,695237833,1162182517
500096,2398196401,3763498474,1206072157,3132617054,331235567,2775358728,2007908941,3573414442,2043147872
500097,196211353,1761928822,3101497782,1892437570,3424765338,845941056,3373456008,2955806000,451145696
500098,2877097047,2905659525,4195285713,194583937,749479679,628000420,3556902950,3907001938,2442801072
500099,4256462348,200592559,2629517806,215174551,2655734592,1347081573,875108650,1736194263,3449412428
500100,3236852249,2613714209,2006528516,1833302002,3200597584,2629748920,2879801045,252568463,53885531
500101,3968926784,1726536013,3777917373,1133376597,3116301556,2616537845,3451793232,723448524,1952460663
500102,1850610078,3209051520,2257185525,3600698435,343327744,4132812745,576655447,2402033913,3187035217
500103,4218364265,465729044,73058222,1886586899,732820865,2412482665,3940904781,3036249654,1430094102
500104,1805848680,1984145748,4001072436,2404975190,1016786754,1145539079,722238442,2784978155,2197007460
500105,3841855858,1307120975,3077328572,2201653368,2149212524,1069824797,1228507748,3187727814,3740759749
500106,3110361787,2537995946,2024789286,808558201,4063114186,1534056686,2546693577,3659571983,1802229898
500107,4053387364,3542131345,2117866850,2920960983,128876198,3851973635,3614430576,4292054776,426163505
500108,796136327,1681172442,2078501082,1500186169,2572928659,1870058024,1369658059,1987190569,677618703
500109,2376900894,2271113153,1901990505,4024906392,892532761,4079403336,2037701611,752035426,3269750299
500110,2446222720,3421619950,2674199669,2066153491,3642085711,1110734225,192520453,3806556952,169002447
500111,704413191,1945372839,2060343640,804007023,3969792745,2003906964,2643542482,1166845571,777225558
500112,2707750498,3365911022,272412310,1307444942,3399320252,415101680,3035814468,478126071,3302894122
500113,720563418,2647991599,3359525362,1685699089,2009154852,1200450392,241957764,2757584402,2472067147
500114,3507799602,1858341805,1120734959,1451906933,4196096467,3723638722,2045209431,2059250019,809740610
500115,880227761,2238752935,1854602812,1665965925,1194136716,2870970007,311953688,971187198,2430584554
500116,2478702100,1464381610,4020667537,4196049685,2068951876,456795916,3327554932,3742477987,1884362540
